category,ci95_high,ci95_low,family,intervention_id,mean,mean_delta_IGD,median,n,problem,state,std,task_id,tolerance
selection,0.029469330905189762,1.4493216831148206e-08,ZDT,selection_tournament_02,0.014687167281497451,-0.021156122159215012,0.01217693064712806,10,ZDT3,neutral,0.025122899241852938,ZDT3_n20_m2,0.01
selection,0.030425236830663907,0.00031495913794571336,ZDT,selection_tournament_03,0.014809351349499131,-0.013736320963267273,0.016281114812237023,10,ZDT3,neutral,0.026335844443267684,ZDT3_n20_m2,0.01
mutation,0.01770323753741077,-0.003443210714461465,DTLZ,mutation_prob_01,0.007942953701941405,-0.0035067584858150423,0.01097606155301237,10,DTLZ2,neutral,0.017972059330032323,DTLZ2_n7_m3,0.01
mutation,0.009597422494794741,-0.006899670651877676,DTLZ,mutation_prob_02,0.0019031637771467255,-0.006045267892698515,0.0003326219401474955,10,DTLZ2,neutral,0.013729551827911106,DTLZ2_n7_m3,0.01
mutation,-0.0012934852116857313,-0.02122246389314163,DTLZ,mutation_prob_03,-0.011403348670461,-0.0032066817252228304,-0.00904435607366662,10,DTLZ2,neutral,0.0169347270157354,DTLZ2_n7_m3,0.01
mutation,-0.011438554403123817,-0.026810735114014564,DTLZ,mutation_prob_04,-0.019338602555784054,0.005529054210582784,-0.01722356014106512,10,DTLZ2,negative,0.013706339688463728,DTLZ2_n7_m3,0.01
mutation,-0.031142459700330635,-0.05244792092170101,DTLZ,mutation_prob_05,-0.0424109013605034,0.012509967527018972,-0.04706084681958447,10,DTLZ2,negative,0.01881741687698152,DTLZ2_n7_m3,0.01
mutation,-0.009532700731349332,-0.02109201369674285,DTLZ,mutation_eta_01,-0.01485690205984339,0.0020872819120538013,-0.01347789838330593,10,DTLZ2,neutral,0.009797738793027585,DTLZ2_n7_m3,0.01
mutation,0.002230531701116614,-0.02350610521344473,DTLZ,mutation_eta_02,-0.009935279130932074,0.0007557188259696299,-0.010610501375119489,10,DTLZ2,neutral,0.021826826051160472,DTLZ2_n7_m3,0.01
mutation,0.0009761910300983273,-0.015644338007790706,DTLZ,mutation_eta_03,-0.0068820689597070455,-0.0013730147148476092,-0.0018456087519125581,10,DTLZ2,neutral,0.015037891418496258,DTLZ2_n7_m3,0.01
mutation,0.020994382879194196,0.0043912883905998295,DTLZ,mutation_eta_04,0.012521310114690954,-0.004065734664609727,0.010872117529292511,10,DTLZ2,neutral,0.013892727106688119,DTLZ2_n7_m3,0.01
mutation,0.0030635387318333172,-0.01900438275965587,DTLZ,mutation_eta_05,-0.007680197061691154,0.007575385576193782,-0.003898864879789111,10,DTLZ2,neutral,0.019847553382303804,DTLZ2_n7_m3,0.01
crossover,-0.005521720512013376,-0.026187305697088336,DTLZ,crossover_prob_01,-0.014974366580223214,0.004877704036032252,-0.00960150363127079,10,DTLZ2,neutral,0.0181592981587056,DTLZ2_n7_m3,0.01
crossover,0.00025766098805370596,-0.021236967345855957,DTLZ,crossover_prob_02,-0.010450313687141012,0.00033225871418347266,-0.00852548499289318,10,DTLZ2,neutral,0.018655306739660125,DTLZ2_n7_m3,0.01
crossover,0.014139301184016328,-0.009626664989162937,DTLZ,crossover_prob_03,0.002756675428134903,-0.0022551122085449583,0.00863668302244817,10,DTLZ2,neutral,0.020338280568677324,DTLZ2_n7_m3,0.01
crossover,0.004333239036584104,-0.012919808463550526,DTLZ,crossover_eta_01,-0.004428662657985832,-0.0028472786596002568,-0.00455486698492857,10,DTLZ2,neutral,0.014885687395425071,DTLZ2_n7_m3,0.01
crossover,0.005063815674872585,-0.012638958878756395,DTLZ,crossover_eta_02,-0.0033670048482656147,-0.0014968556202184361,0.0030365721086048135,10,DTLZ2,neutral,0.015333521347068179,DTLZ2_n7_m3,0.01
crossover,0.0037204052954563516,-0.012399858300350303,DTLZ,crossover_eta_03,-0.004579683035564674,0.0006794212095473942,-0.003165268474890451,10,DTLZ2,neutral,0.014121979761031848,DTLZ2_n7_m3,0.01
crossover,0.01992870660731084,0.00080990830039449,DTLZ,crossover_eta_04,0.011501642627763091,-0.006601986778045023,0.013041587113345266,10,DTLZ2,neutral,0.015602447229808594,DTLZ2_n7_m3,0.01
selection,-0.0003023956531809749,-0.013963660256250659,DTLZ,selection_tournament_01,-0.007083421147728908,-0.00025950772435677505,-0.008256171309826251,10,DTLZ2,neutral,0.012068840300941129,DTLZ2_n7_m3,0.01
selection,0.010690823116703288,-0.008220344500875951,DTLZ,selection_tournament_02,0.0012120697962384433,-0.0013148106015284503,-0.0024948590303787324,10,DTLZ2,neutral,0.016224745494944768,DTLZ2_n7_m3,0.01
selection,-0.0005607767112728873,-0.01925740040637006,DTLZ,selection_tournament_03,-0.010173059117856233,0.003409120422240758,-0.014797248922995117,10,DTLZ2,neutral,0.016836184877602557,DTLZ2_n7_m3,0.01
